map_id,team,agent_1,agent_2,agent_3,agent_4,agent_5,source
681328_0,Sentinels,Viper,Sova,Iso,Harbor,Neon,vlr
681328_2,Sentinels,Viper,Fade,Astra,Raze,Neon,vlr
681328_3,Sentinels,Omen,Viper,Killjoy,Sova,Neon,vlr
681329_2,KRÜ Esports,Viper,Vyse,Fade,Neon,Omen,vlr
681330_0,FURIA,Omen,Sova,Phoenix,Cypher,Jett,vlr
681330_2,FURIA,Viper,KAY/O,Jett,Harbor,Sova,vlr
681331_0,NRG,Sova,Harbor,KAY/O,Jett,Viper,vlr
681331_2,NRG,Sova,Jett,KAY/O,Omen,Vyse,vlr
681332_0,MIBR,Neon,Fade,Omen,Cypher,Raze,vlr
681332_2,MIBR,Sova,Neon,Cypher,Phoenix,Harbor,vlr
681332_3,MIBR,Omen,Jett,Sova,Neon,Cypher,vlr
681333_0,LOUD,Neon,Omen,Phoenix,Sova,Cypher,vlr
681333_2,LOUD,Neon,Vyse,Viper,Omen,Fade,vlr
681333_3,LOUD,Astra,Vyse,Phoenix,Neon,Fade,vlr
681335_0,NRG,Raze,Omen,Vyse,Fade,Viper,vlr
681335_2,NRG,Jett,Sova,Omen,Phoenix,Cypher,vlr
681336_0,Sentinels,Harbor,Viper,Neon,Sova,Iso,vlr
681336_2,Sentinels,Fade,Cypher,Raze,Omen,Neon,vlr
681336_3,Sentinels,Vyse,Neon,Phoenix,Astra,Fade,vlr
681337_2,NRG,Omen,Viper,Raze,Vyse,Fade,vlr
681337_2,NRG,Omen,Viper,Raze,Vyse,Fade,vlr
681336_0,Sentinels,Harbor,Viper,Neon,Sova,Iso,vlr
681336_2,Sentinels,Fade,Cypher,Raze,Omen,Neon,vlr
681336_3,Sentinels,Vyse,Neon,Phoenix,Astra,Fade,vlr
681333_0,LOUD,Neon,Omen,Phoenix,Sova,Cypher,vlr
681333_2,LOUD,Neon,Vyse,Viper,Omen,Fade,vlr
681333_3,LOUD,Astra,Vyse,Phoenix,Neon,Fade,vlr
681335_0,NRG,Raze,Omen,Vyse,Fade,Viper,vlr
681335_2,NRG,Jett,Sova,Omen,Phoenix,Cypher,vlr
681332_0,MIBR,Neon,Fade,Omen,Cypher,Raze,vlr
681332_2,MIBR,Sova,Neon,Cypher,Phoenix,Harbor,vlr
681332_3,MIBR,Omen,Jett,Sova,Neon,Cypher,vlr
674854_0,Natus Vincere,Viper,Omen,Fade,Chamber,Neon,vlr
674854_2,Natus Vincere,Omen,Raze,Cypher,Fade,Neon,vlr
674855_0,Gentle Mates,Raze,Cypher,Omen,Fade,Neon,vlr
674855_2,Gentle Mates,Phoenix,Cypher,Jett,Sova,Omen,vlr
674856_0,BBL Esports,Jett,Viper,Omen,Neon,Sova,vlr
674856_2,BBL Esports,Vyse,Raze,Neon,Astra,Fade,vlr
674857_0,Eternal Fire,Astra,Raze,Cypher,Neon,Fade,vlr
674857_2,Eternal Fire,Cypher,Fade,Astra,Neon,Phoenix,vlr
674857_3,Eternal Fire,Vyse,Omen,Sage,Jett,Sova,vlr
674858_0,Gentle Mates,Neon,Phoenix,Sova,Cypher,Omen,vlr
674858_2,Gentle Mates,Phoenix,Cypher,Fade,Astra,Neon,vlr
674858_3,Gentle Mates,Omen,Sova,Phoenix,Jett,Cypher,vlr
674859_0,Karmine Corp,Omen,Fade,Chamber,Viper,Neon,vlr
674859_2,Karmine Corp,Cypher,Phoenix,Neon,Omen,Sova,vlr
674859_3,Karmine Corp,Phoenix,Fade,Cypher,Neon,Brimstone,vlr
674859_4,Karmine Corp,Cypher,Phoenix,Omen,Neon,Sova,vlr
674859_5,Karmine Corp,Viper,Harbor,Sova,Jett,Neon,vlr
674860_0,Team Liquid,Fade,Cypher,Omen,Raze,Phoenix,vlr
674860_2,Team Liquid,Cypher,Jett,Omen,Sova,Sage,vlr
674861_2,Eternal Fire,Cypher,Neon,Fade,Omen,Raze,vlr
674862_0,Natus Vincere,Cypher,Phoenix,Sova,Omen,Neon,vlr
674862_2,Natus Vincere,Neon,Raze,Fade,Viper,Omen,vlr
674862_3,Natus Vincere,Omen,Chamber,Neon,Viper,Fade,vlr
674863_0,BBL Esports,Astra,Cypher,Phoenix,Fade,Neon,vlr
674863_2,BBL Esports,Jett,Sova,Omen,Phoenix,Cypher,vlr
