map_id,match_id,map_name,map_order,team_a_score,team_b_score,attacker_start,duration_seconds,source
660369_0,660369,BreezePICK57:08,0,0,0,,,vlr
660369_2,660369,SplitPICK42:40,2,0,0,,,vlr
660369_3,660369,Pearl28:51,3,0,0,,,vlr
660370_0,660370,PearlPICK42:48,0,0,0,,,vlr
660370_2,660370,LotusPICK44:02,2,0,0,,,vlr
660371_0,660371,SplitPICK1:03:01,0,0,0,,,vlr
660371_2,660371,FracturePICK31:14,2,0,0,,,vlr
660371_3,660371,Ascent46:09,3,0,0,,,vlr
660372_0,660372,LotusPICK1:05:48,0,0,0,,,vlr
660372_2,660372,BreezePICK41:55,2,0,0,,,vlr
660373_0,660373,AscentPICK52:49,0,0,0,,,vlr
660373_2,660373,PearlPICK50:07,2,0,0,,,vlr
660373_3,660373,Split37:42,3,0,0,,,vlr
660374_0,660374,TBD-,0,0,0,,,vlr
660374_2,660374,TBD-,2,0,0,,,vlr
660374_3,660374,TBD-,3,0,0,,,vlr
660374_4,660374,TBD-,4,0,0,,,vlr
660374_5,660374,TBD-,5,0,0,,,vlr
660375_0,660375,LotusPICK50:29,0,0,0,,,vlr
660375_2,660375,HavenPICK47:55,2,0,0,,,vlr
660376_0,660376,BreezePICK45:51,0,0,0,,,vlr
660376_2,660376,SplitPICK35:11,2,0,0,,,vlr
660377_0,660377,BreezePICK53:51,0,0,0,,,vlr
660377_2,660377,HavenPICK35:53,2,0,0,,,vlr
660378_0,660378,FracturePICK58:16,0,0,0,,,vlr
660378_2,660378,BreezePICK41:49,2,0,0,,,vlr
660379_0,660379,FracturePICK57:15,0,0,0,,,vlr
660379_2,660379,BreezePICK51:43,2,0,0,,,vlr
660380_0,660380,LotusPICK1:10:25,0,0,0,,,vlr
660380_2,660380,BreezePICK43:59,2,0,0,,,vlr
660380_3,660380,PearlPICK45:40,3,0,0,,,vlr
660380_4,660380,HavenPICK58:57,4,0,0,,,vlr
660380_5,660380,Ascent55:09,5,0,0,,,vlr
660374_0,660374,TBD-,0,0,0,,,vlr
660374_2,660374,TBD-,2,0,0,,,vlr
660374_3,660374,TBD-,3,0,0,,,vlr
660374_4,660374,TBD-,4,0,0,,,vlr
660374_5,660374,TBD-,5,0,0,,,vlr
660380_0,660380,LotusPICK1:10:25,0,0,0,,,vlr
660380_2,660380,BreezePICK43:59,2,0,0,,,vlr
660380_3,660380,PearlPICK45:40,3,0,0,,,vlr
660380_4,660380,HavenPICK58:57,4,0,0,,,vlr
660380_5,660380,Ascent55:09,5,0,0,,,vlr
660379_0,660379,FracturePICK57:15,0,0,0,,,vlr
660379_2,660379,BreezePICK51:43,2,0,0,,,vlr
660373_0,660373,AscentPICK52:49,0,0,0,,,vlr
660373_2,660373,PearlPICK50:07,2,0,0,,,vlr
660373_3,660373,Split37:42,3,0,0,,,vlr
660378_0,660378,FracturePICK58:16,0,0,0,,,vlr
660378_2,660378,BreezePICK41:49,2,0,0,,,vlr
660377_0,660377,BreezePICK53:51,0,0,0,,,vlr
660377_2,660377,HavenPICK35:53,2,0,0,,,vlr
681329_0,681329,TBD-,0,0,0,,,vlr
681329_2,681329,TBD-,2,0,0,,,vlr
681329_3,681329,TBD-,3,0,0,,,vlr
681330_0,681330,TBD-,0,0,0,,,vlr
681330_2,681330,TBD-,2,0,0,,,vlr
681330_3,681330,TBD-,3,0,0,,,vlr
681331_0,681331,TBD-,0,0,0,,,vlr
681331_2,681331,TBD-,2,0,0,,,vlr
681331_3,681331,TBD-,3,0,0,,,vlr
681329_0,681329,TBD-,0,0,0,,,vlr
681329_2,681329,TBD-,2,0,0,,,vlr
681329_3,681329,TBD-,3,0,0,,,vlr
681330_0,681330,TBD-,0,0,0,,,vlr
681330_2,681330,TBD-,2,0,0,,,vlr
681330_3,681330,TBD-,3,0,0,,,vlr
681331_0,681331,TBD-,0,0,0,,,vlr
681331_2,681331,TBD-,2,0,0,,,vlr
681331_3,681331,TBD-,3,0,0,,,vlr
674854_0,674854,Fracture40:24,0,0,0,,,vlr
674854_2,674854,Lotus49:11,2,0,0,,,vlr
674855_0,674855,LotusPICK47:07,0,0,0,,,vlr
674855_2,674855,AscentPICK40:26,2,0,0,,,vlr
674856_0,674856,Breeze40:13,0,0,0,,,vlr
674856_2,674856,Split33:30,2,0,0,,,vlr
674857_0,674857,FracturePICK46:52,0,0,0,,,vlr
674857_2,674857,PearlPICK48:04,2,0,0,,,vlr
674857_3,674857,Ascent42:27,3,0,0,,,vlr
674858_0,674858,HavenPICK50:51,0,0,0,,,vlr
674858_2,674858,FracturePICK45:16,2,0,0,,,vlr
674858_3,674858,AscentPICK43:45,3,0,0,,,vlr
674859_0,674859,LotusPICK-,0,0,0,,,vlr
674859_2,674859,HavenPICK-,2,0,0,,,vlr
674859_3,674859,FracturePICK-,3,0,0,,,vlr
674859_4,674859,AscentPICK-,4,0,0,,,vlr
674859_5,674859,Breeze-,5,0,0,,,vlr
674860_0,674860,Lotus46:43,0,0,0,,,vlr
674860_2,674860,Ascent50:11,2,0,0,,,vlr
674861_0,674861,TBD-,0,0,0,,,vlr
674861_2,674861,TBD-,2,0,0,,,vlr
674861_3,674861,TBD-,3,0,0,,,vlr
674859_0,674859,LotusPICK-,0,0,0,,,vlr
674859_2,674859,HavenPICK-,2,0,0,,,vlr
674859_3,674859,FracturePICK-,3,0,0,,,vlr
674859_4,674859,AscentPICK-,4,0,0,,,vlr
674859_5,674859,Breeze-,5,0,0,,,vlr
674861_0,674861,TBD-,0,0,0,,,vlr
674861_2,674861,TBD-,2,0,0,,,vlr
674861_3,674861,TBD-,3,0,0,,,vlr
674858_0,674858,HavenPICK50:51,0,0,0,,,vlr
674858_2,674858,FracturePICK45:16,2,0,0,,,vlr
674858_3,674858,AscentPICK43:45,3,0,0,,,vlr
674860_0,674860,Lotus46:43,0,0,0,,,vlr
674860_2,674860,Ascent50:11,2,0,0,,,vlr
674854_0,674854,Fracture40:24,0,0,0,,,vlr
674854_2,674854,Lotus49:11,2,0,0,,,vlr
674855_0,674855,LotusPICK47:07,0,0,0,,,vlr
674855_2,674855,AscentPICK40:26,2,0,0,,,vlr
674856_0,674856,Breeze40:13,0,0,0,,,vlr
674856_2,674856,Split33:30,2,0,0,,,vlr
675201_0,675201,Pearl54:58,0,0,0,,,vlr
675201_2,675201,Haven39:26,2,0,0,,,vlr
675201_3,675201,Breeze1:03:41,3,0,0,,,vlr
675202_0,675202,Lotus44:43,0,0,0,,,vlr
675202_2,675202,Haven40:44,2,0,0,,,vlr
675203_0,675203,Pearl48:20,0,0,0,,,vlr
675203_2,675203,Ascent57:32,2,0,0,,,vlr
675204_0,675204,Split40:52,0,0,0,,,vlr
675204_2,675204,Pearl31:04,2,0,0,,,vlr
675205_0,675205,HavenPICK41:48,0,0,0,,,vlr
675205_2,675205,AscentPICK44:21,2,0,0,,,vlr
675205_3,675205,BreezePICK37:57,3,0,0,,,vlr
675205_4,675205,LotusPICK49:02,4,0,0,,,vlr
675205_5,675205,Pearl54:34,5,0,0,,,vlr
675206_0,675206,SplitPICK1:01:39,0,0,0,,,vlr
675206_2,675206,PearlPICK29:49,2,0,0,,,vlr
675206_3,675206,HavenPICK35:02,3,0,0,,,vlr
675206_4,675206,BreezePICK41:45,4,0,0,,,vlr
675206_5,675206,Ascent49:57,5,0,0,,,vlr
675207_0,675207,Split44:51,0,0,0,,,vlr
675207_2,675207,Haven48:04,2,0,0,,,vlr
675207_3,675207,Breeze29:09,3,0,0,,,vlr
675208_0,675208,Ascent43:21,0,0,0,,,vlr
675208_2,675208,Split45:45,2,0,0,,,vlr
675208_3,675208,Haven42:16,3,0,0,,,vlr
675209_0,675209,TBD-,0,0,0,,,vlr
675209_2,675209,TBD-,2,0,0,,,vlr
675209_3,675209,TBD-,3,0,0,,,vlr
675210_0,675210,TBD-,0,0,0,,,vlr
675210_2,675210,TBD-,2,0,0,,,vlr
675210_3,675210,TBD-,3,0,0,,,vlr
675209_0,675209,TBD-,0,0,0,,,vlr
675209_2,675209,TBD-,2,0,0,,,vlr
675209_3,675209,TBD-,3,0,0,,,vlr
675210_0,675210,TBD-,0,0,0,,,vlr
675210_2,675210,TBD-,2,0,0,,,vlr
675210_3,675210,TBD-,3,0,0,,,vlr
675206_0,675206,SplitPICK1:01:39,0,0,0,,,vlr
675206_2,675206,PearlPICK29:49,2,0,0,,,vlr
675206_3,675206,HavenPICK35:02,3,0,0,,,vlr
675206_4,675206,BreezePICK41:45,4,0,0,,,vlr
675206_5,675206,Ascent49:57,5,0,0,,,vlr
675208_0,675208,Ascent43:21,0,0,0,,,vlr
675208_2,675208,Split45:45,2,0,0,,,vlr
675208_3,675208,Haven42:16,3,0,0,,,vlr
675205_0,675205,HavenPICK41:48,0,0,0,,,vlr
675205_2,675205,AscentPICK44:21,2,0,0,,,vlr
675205_3,675205,BreezePICK37:57,3,0,0,,,vlr
675205_4,675205,LotusPICK49:02,4,0,0,,,vlr
675205_5,675205,Pearl54:34,5,0,0,,,vlr
675207_0,675207,Split44:51,0,0,0,,,vlr
675207_2,675207,Haven48:04,2,0,0,,,vlr
675207_3,675207,Breeze29:09,3,0,0,,,vlr
675201_0,675201,Pearl54:58,0,0,0,,,vlr
675201_2,675201,Haven39:26,2,0,0,,,vlr
675201_3,675201,Breeze1:03:41,3,0,0,,,vlr
681009_0,681009,HavenPICK-,0,0,0,,,vlr
681009_2,681009,PearlPICK-,2,0,0,,,vlr
681010_0,681010,FracturePICK-,0,0,0,,,vlr
681010_2,681010,SplitPICK-,2,0,0,,,vlr
681011_0,681011,LotusPICK-,0,0,0,,,vlr
681011_2,681011,PearlPICK-,2,0,0,,,vlr
681012_0,681012,LotusPICK-,0,0,0,,,vlr
681012_2,681012,PearlPICK-,2,0,0,,,vlr
681012_3,681012,Fracture-,3,0,0,,,vlr
681013_0,681013,FracturePICK-,0,0,0,,,vlr
681013_2,681013,LotusPICK-,2,0,0,,,vlr
681013_3,681013,Pearl-,3,0,0,,,vlr
681014_0,681014,AscentPICK-,0,0,0,,,vlr
681014_2,681014,SplitPICK-,2,0,0,,,vlr
681014_3,681014,Fracture-,3,0,0,,,vlr
681015_0,681015,AscentPICK-,0,0,0,,,vlr
681015_2,681015,HavenPICK-,2,0,0,,,vlr
681016_0,681016,BreezePICK-,0,0,0,,,vlr
