match_id,event,date,patch,bo_type,team_a,team_b,winner,score_a,score_b,maps_played,source
660369,VCT 2026: Americas Stage 1,2026-05-24 18:47:06.338568,,bo3,FURIA,Leviatán,Leviatán,1,2,3,vlr
660370,VCT 2026: Americas Stage 1,2026-05-24 18:47:07.252355,,bo3,G2,100 Thieves,G2,2,0,2,vlr
660371,VCT 2026: Americas Stage 1,2026-05-24 18:47:09.034686,,bo3,MIBR,Leviatán,Leviatán,1,2,3,vlr
660372,VCT 2026: Americas Stage 1,2026-05-24 18:47:09.818651,,bo3,KRÜ Esports,G2,G2,0,2,2,vlr
660373,VCT 2026: Americas Stage 1,2026-05-24 18:47:10.739716,,bo3,Leviatán,G2,Leviatán,2,1,3,vlr
660374,VCT 2026: Americas Stage 1,2026-05-24 18:47:11.636807,,bo3,Leviatán,G2,,0,0,0,vlr
660375,VCT 2026: Americas Stage 1,2026-05-24 18:47:12.678629,,bo3,FURIA,NRG,NRG,0,2,2,vlr
660376,VCT 2026: Americas Stage 1,2026-05-24 18:47:13.856270,,bo3,100 Thieves,LOUD,100 Thieves,2,0,2,vlr
660377,VCT 2026: Americas Stage 1,2026-05-24 18:47:15.009023,,bo3,KRÜ Esports,NRG,NRG,0,2,2,vlr
660378,VCT 2026: Americas Stage 1,2026-05-24 18:47:15.487922,,bo3,MIBR,100 Thieves,100 Thieves,0,2,2,vlr
660379,VCT 2026: Americas Stage 1,2026-05-24 18:47:16.954418,,bo3,NRG,100 Thieves,NRG,2,0,2,vlr
660380,VCT 2026: Americas Stage 1,2026-05-24 18:47:17.768235,,bo3,G2,NRG,G2,3,2,5,vlr
660374,VCT 2026: Americas Stage 1,2026-05-24 18:47:18.743842,,bo3,Leviatán,G2,,0,0,0,vlr
660380,VCT 2026: Americas Stage 1,2026-05-24 18:47:20.482289,,bo3,G2,NRG,G2,3,2,5,vlr
660379,VCT 2026: Americas Stage 1,2026-05-24 18:47:21.194308,,bo3,NRG,100 Thieves,NRG,2,0,2,vlr
