round_id,map_id,round_number,winner,win_type,spike_planted,econ_a,econ_b,duration_seconds,source
660369_0_1,660369_0,1,draw/unknown,elimination,False,0,0,,vlr
660369_0_1,660369_0,1,draw/unknown,elimination,False,0,0,,vlr
660369_0_1,660369_0,1,draw/unknown,elimination,False,0,0,,vlr
660369_0_2,660369_0,2,draw/unknown,defuse,True,0,0,,vlr
660369_0_3,660369_0,3,draw/unknown,elimination,False,0,0,,vlr
660369_0_4,660369_0,4,draw/unknown,spike,True,0,0,,vlr
660369_0_5,660369_0,5,draw/unknown,elimination,False,0,0,,vlr
660369_0_6,660369_0,6,draw/unknown,elimination,False,0,0,,vlr
660369_0_7,660369_0,7,draw/unknown,elimination,False,0,0,,vlr
660369_0_8,660369_0,8,draw/unknown,elimination,False,0,0,,vlr
660369_0_9,660369_0,9,draw/unknown,elimination,False,0,0,,vlr
660369_0_10,660369_0,10,draw/unknown,elimination,False,0,0,,vlr
660369_0_11,660369_0,11,draw/unknown,elimination,False,0,0,,vlr
660369_0_12,660369_0,12,draw/unknown,defuse,True,0,0,,vlr
660369_0_13,660369_0,13,draw/unknown,defuse,True,0,0,,vlr
660369_0_14,660369_0,14,draw/unknown,elimination,False,0,0,,vlr
660369_0_15,660369_0,15,draw/unknown,elimination,False,0,0,,vlr
660369_0_16,660369_0,16,draw/unknown,defuse,True,0,0,,vlr
660369_0_17,660369_0,17,draw/unknown,elimination,False,0,0,,vlr
660369_0_18,660369_0,18,draw/unknown,elimination,False,0,0,,vlr
660369_0_19,660369_0,19,draw/unknown,elimination,False,0,0,,vlr
660369_0_20,660369_0,20,draw/unknown,spike,True,0,0,,vlr
660369_0_21,660369_0,21,draw/unknown,defuse,True,0,0,,vlr
660369_0_22,660369_0,22,draw/unknown,elimination,False,0,0,,vlr
660369_0_23,660369_0,23,draw/unknown,elimination,False,0,0,,vlr
660369_0_24,660369_0,24,draw/unknown,elimination,False,0,0,,vlr
660369_2_1,660369_2,1,draw/unknown,elimination,False,0,0,,vlr
660369_2_1,660369_2,1,draw/unknown,elimination,False,0,0,,vlr
660369_2_1,660369_2,1,draw/unknown,elimination,False,0,0,,vlr
660369_2_2,660369_2,2,draw/unknown,elimination,False,0,0,,vlr
660369_2_3,660369_2,3,draw/unknown,spike,True,0,0,,vlr
660369_2_4,660369_2,4,draw/unknown,spike,True,0,0,,vlr
660369_2_5,660369_2,5,draw/unknown,defuse,True,0,0,,vlr
660369_2_6,660369_2,6,draw/unknown,elimination,False,0,0,,vlr
660369_2_7,660369_2,7,draw/unknown,elimination,False,0,0,,vlr
660369_2_8,660369_2,8,draw/unknown,spike,True,0,0,,vlr
660369_2_9,660369_2,9,draw/unknown,elimination,False,0,0,,vlr
660369_2_10,660369_2,10,draw/unknown,spike,True,0,0,,vlr
660369_2_11,660369_2,11,draw/unknown,elimination,False,0,0,,vlr
660369_2_12,660369_2,12,draw/unknown,elimination,False,0,0,,vlr
660369_2_13,660369_2,13,draw/unknown,elimination,False,0,0,,vlr
660369_2_14,660369_2,14,draw/unknown,elimination,False,0,0,,vlr
660369_2_15,660369_2,15,draw/unknown,spike,True,0,0,,vlr
660369_2_16,660369_2,16,draw/unknown,defuse,True,0,0,,vlr
660369_2_17,660369_2,17,draw/unknown,defuse,True,0,0,,vlr
660369_2_18,660369_2,18,draw/unknown,defuse,True,0,0,,vlr
660369_2_19,660369_2,19,draw/unknown,elimination,False,0,0,,vlr
660369_2_20,660369_2,20,draw/unknown,elimination,False,0,0,,vlr
660369_2_21,660369_2,21,draw/unknown,elimination,False,0,0,,vlr
660369_2_22,660369_2,22,draw/unknown,elimination,False,0,0,,vlr
660369_2_23,660369_2,23,draw/unknown,elimination,False,0,0,,vlr
660369_2_24,660369_2,24,draw/unknown,elimination,False,0,0,,vlr
660369_3_1,660369_3,1,draw/unknown,elimination,False,0,0,,vlr
660369_3_1,660369_3,1,draw/unknown,elimination,False,0,0,,vlr
660369_3_1,660369_3,1,draw/unknown,defuse,True,0,0,,vlr
660369_3_2,660369_3,2,draw/unknown,defuse,True,0,0,,vlr
660369_3_3,660369_3,3,draw/unknown,elimination,False,0,0,,vlr
660369_3_4,660369_3,4,draw/unknown,elimination,False,0,0,,vlr
660369_3_5,660369_3,5,draw/unknown,elimination,False,0,0,,vlr
660369_3_6,660369_3,6,draw/unknown,defuse,True,0,0,,vlr
660369_3_7,660369_3,7,draw/unknown,defuse,True,0,0,,vlr
660369_3_8,660369_3,8,draw/unknown,elimination,False,0,0,,vlr
660369_3_9,660369_3,9,draw/unknown,elimination,False,0,0,,vlr
660369_3_10,660369_3,10,draw/unknown,elimination,False,0,0,,vlr
660369_3_11,660369_3,11,draw/unknown,elimination,False,0,0,,vlr
660369_3_12,660369_3,12,draw/unknown,defuse,True,0,0,,vlr
660369_3_13,660369_3,13,draw/unknown,elimination,False,0,0,,vlr
660369_3_14,660369_3,14,draw/unknown,elimination,False,0,0,,vlr
660369_3_15,660369_3,15,draw/unknown,elimination,False,0,0,,vlr
660369_3_16,660369_3,16,draw/unknown,elimination,False,0,0,,vlr
660369_3_17,660369_3,17,draw/unknown,elimination,False,0,0,,vlr
660369_3_18,660369_3,18,draw/unknown,elimination,False,0,0,,vlr
660369_3_19,660369_3,19,draw/unknown,elimination,False,0,0,,vlr
660369_3_20,660369_3,20,draw/unknown,elimination,False,0,0,,vlr
660369_3_21,660369_3,21,draw/unknown,elimination,False,0,0,,vlr
660369_3_22,660369_3,22,draw/unknown,elimination,False,0,0,,vlr
660369_3_23,660369_3,23,draw/unknown,elimination,False,0,0,,vlr
660369_3_24,660369_3,24,draw/unknown,elimination,False,0,0,,vlr
660370_0_1,660370_0,1,draw/unknown,elimination,False,0,0,,vlr
660370_0_1,660370_0,1,draw/unknown,elimination,False,0,0,,vlr
660370_0_1,660370_0,1,draw/unknown,elimination,False,0,0,,vlr
660370_0_2,660370_0,2,draw/unknown,elimination,False,0,0,,vlr
660370_0_3,660370_0,3,draw/unknown,defuse,True,0,0,,vlr
660370_0_4,660370_0,4,draw/unknown,defuse,True,0,0,,vlr
660370_0_5,660370_0,5,draw/unknown,elimination,False,0,0,,vlr
660370_0_6,660370_0,6,draw/unknown,elimination,False,0,0,,vlr
660370_0_7,660370_0,7,draw/unknown,elimination,False,0,0,,vlr
660370_0_8,660370_0,8,draw/unknown,defuse,True,0,0,,vlr
660370_0_9,660370_0,9,draw/unknown,elimination,False,0,0,,vlr
660370_0_10,660370_0,10,draw/unknown,elimination,False,0,0,,vlr
660370_0_11,660370_0,11,draw/unknown,elimination,False,0,0,,vlr
660370_0_12,660370_0,12,draw/unknown,elimination,False,0,0,,vlr
660370_0_13,660370_0,13,draw/unknown,elimination,False,0,0,,vlr
660370_0_14,660370_0,14,draw/unknown,elimination,False,0,0,,vlr
660370_0_15,660370_0,15,draw/unknown,elimination,False,0,0,,vlr
660370_0_16,660370_0,16,draw/unknown,elimination,False,0,0,,vlr
660370_0_17,660370_0,17,draw/unknown,elimination,False,0,0,,vlr
660370_0_18,660370_0,18,draw/unknown,elimination,False,0,0,,vlr
660370_0_19,660370_0,19,draw/unknown,elimination,False,0,0,,vlr
660370_0_20,660370_0,20,draw/unknown,elimination,False,0,0,,vlr
660370_0_21,660370_0,21,draw/unknown,elimination,False,0,0,,vlr
660370_0_22,660370_0,22,draw/unknown,elimination,False,0,0,,vlr
660370_0_23,660370_0,23,draw/unknown,elimination,False,0,0,,vlr
660370_0_24,660370_0,24,draw/unknown,elimination,False,0,0,,vlr
660370_2_1,660370_2,1,draw/unknown,elimination,False,0,0,,vlr
660370_2_1,660370_2,1,draw/unknown,elimination,False,0,0,,vlr
660370_2_1,660370_2,1,draw/unknown,defuse,True,0,0,,vlr
